UAI,Lat -WGS84,Lon – WGS84,,
0760586Z,49,93066486,1,62247086
0760587A,49,82648611,1,568288593
0760588B,49,95432937,1,55056085
0760591E,49,89277734,1,546888761
0760594H,49,86873133,1,56684624
0760598M,49,95957891,1,513053115
0760599N,49,9543333,1,587700479
0760600P,49,86172092,1,708601663
0760604U,49,89262914,1,644721066
0760605V,49,85357451,1,620379371
0760606W,49,8199704,1,594386132
0760607X,49,93360996,1,580747436
0760610A,49,83862581,1,563274593
0760612C,49,59938824,1,108431284
0760613D,49,57489536,1,63316717
0760614E,49,60368331,1,147049729
0760615F,49,60672138,1,80577087
0760616G,49,54326975,1,114708451
0760617H,49,5778686,1,228580201
0760618J,49,60063214,1,185732029
0760619K,49,54653664,1,53570766
0760620L,49,60505859,1,22365122
0760624R,49,62237645,1,137652149
0760625S,49,6182176,1,109550684
0760626T,49,63177563,1,847126
0760627U,49,57101639,1,109735051
0760628V,49,54406906,1,74533641
0760629W,49,5441681,1,74600386
0760630X,49,54797596,1,75384729
0760633A,49,5638086,1,2453257
0760634B,49,54783501,1,21861175
0760635C,49,54330318,1,17826884
0760637E,49,59096092,1,3249909
0760640H,49,64149548,0,265219184
0760643L,49,63235077,0,235593665
0760644M,49,66505865,0,221109671
0760645N,49,71722417,0,249516678
0760646P,49,70058179,0,257100481
0760650U,49,67832905,0,305155769
0760653X,49,59985366,0,261945411
0760654Y,49,61589515,0,147805869
0760658C,49,60178779,0,208583762
0760659D,49,66424917,0,201651124
0760660E,49,68292265,0,202137071
0760661F,49,60753361,0,234169382
0760662G,49,61865897,0,282049336
0760663H,49,65956619,0,243481518
0760666L,49,52642308,0,723030208
0760667M,49,5341137,0,633175965
0760668N,49,57411642,0,69439286
0760671S,49,55480184,0,724345231
0760672T,49,48572627,0,75553406
0760673U,49,52863993,0,664575298
0760674V,49,56638014,0,637962955
0760676X,49,50777394,0,733293424
0760677Y,49,55603377,0,621681395
0760678Z,49,52326629,0,620975643
0760683E,49,51313058,0,674228135
0760689L,49,79602064,1,322352374
0760692P,49,8513602,1,451362946
0760693R,49,82682156,1,330727993
0760695T,49,84206803,1,476625435
0760696U,49,85742626,1,357754358
0760699X,49,80800395,1,423212716
0760701Z,49,79344608,1,437001723
0760702A,49,80653221,1,452913242
0760703B,49,77751438,1,33339398
0760707F,49,83062773,1,86426101
0760708G,49,7694379,1,47853673
0760709H,49,80560069,1,52363873
0760710J,49,83544341,1,147753797
0760711K,49,75480321,1,148128682
0760713M,49,82116656,1,119605513
0760715P,49,82080448,1,90502752
0760716R,49,81153588,1,97426288
0760717S,49,73053639,1,9797399
0760723Y,49,79428763,1,12132612
