UAI,Lat -WGS84,Lon – WGS84,,
0762236T,49,42927806,1,58747852
0762237U,49,42951241,1,6035457
0762238V,49,27096316,1,48869156
0762239W,49,27066702,1,48628858
0762245C,49,91859264,1,101516284
0762246D,49,39351233,1,93595758
0762247E,49,51745442,0,169770944
0762324N,49,42707676,1,59623413
0762325P,49,47896347,1,716797803
0762326R,49,47068817,1,44730691
0762327S,49,42650601,1,73140584
0762328T,49,42633812,1,73268163
0762329U,49,45207363,1,24093957
0762330V,49,52740918,1,45525356
0762332X,49,42679769,1,59152872
0762333Y,49,59892134,0,849066957
0762334Z,49,49199883,0,684770191
0762335A,49,47943656,0,464659196
0762336B,49,81115442,0,850069307
0762338D,49,59031947,0,42632729
0762339E,49,56359317,1,162428473
0762340F,49,70694899,0,205756551
0762341G,49,70319917,0,209217585
0762342H,49,78550538,1,228919546
0762343J,49,91897095,1,10082306
0762344K,49,93175994,1,10099095
0762345L,49,52804294,0,115474267
0762349R,49,53377134,0,958262742
0762350S,49,78823817,0,635817087
0762351T,50,1934171,1,32097838
0762352U,49,45637779,0,82872531
0762353V,49,28034665,1,912178
0762354W,49,63256331,0,533695765
0762356Y,49,34602256,1,19933731
0762358A,49,79212272,1,109407398
0762359B,49,53288449,0,239921199
0762360C,49,87430892,1,45352816
0762362E,49,45034467,1,106184046
0762363F,49,47605175,0,816693565
0762364G,49,85772109,1,657544636
0762365H,50,1891871,1,321775947
0762366J,49,53322513,0,146087154
0762367K,49,7489271,0,639939779
0762368L,49,55741637,0,483218466
0762370N,49,58552811,0,52616245
0762374T,49,42956131,1,49132053
0762375U,49,4186513,1,76568385
0762376V,49,45600835,0,828029193
0762379Y,49,34517248,1,100566509
0762381A,49,38914176,1,34617031
0762382B,49,31436664,1,30434877
0762383C,49,30322965,1,343869
0762389J,49,5255538,0,113478157
0762390K,49,3453229,0,991110642
0762391L,49,38930069,1,34659178
0762392M,49,30294211,1,34179208
0762395R,49,75063744,0,879605111
0762409F,49,40478077,1,49432528
0762412J,49,57833091,1,205948384
0762413K,49,59592289,0,678410516
0762414L,49,38657933,1,140897528
0762415M,49,38625593,1,140973926
0762416N,49,93117789,1,622871754
0762417P,49,56443903,0,223137438
0762419S,49,55692004,0,483434913
0762422V,49,47966639,0,164100369
0762425Y,49,52287637,0,117705278
0762427A,49,30586818,0,961521345
0762428B,49,30596325,0,961347065
0762429C,49,4689904,1,85628795
0762430D,49,46944939,1,83896977
0762431E,49,4900255,1,52489919
0762432F,49,55679061,0,119326569
0762433G,49,90482445,1,9283531
0762434H,49,53346634,0,473477645
0762435J,49,42387421,1,717332512
0762436K,49,86061011,0,706894468
0762437L,49,60753361,0,234169382
0762440P,49,42912424,1,61772451
0762441R,49,54592575,0,173392934
0762444U,49,47633286,1,40810216
0762446W,49,48294782,1,745261332
0762449Z,49,54592575,0,173392934
0762450A,49,73671581,0,316417446
0762451B,49,70990133,0,632407103
0762462N,49,33011648,1,106262071
0762463P,49,40122255,1,101110921
0762464R,49,4009828,1,100672012
0762465S,49,63275148,1,440132961
0762466T,49,86583212,0,706385881
0762467U,49,81807169,1,264378646
0762468V,49,4528937,1,66543966
0762469W,49,43023722,1,62328815
0762470X,49,90948385,1,670475117
0762471Y,49,41179352,1,137866868
0762475C,49,49520884,0,152029014
0762480H,49,51139972,0,158099619
0762481J,49,41116571,1,43331611
0762482K,49,4027379,1,177297446
0762483L,49,40246324,1,177447686
0762484M,49,74611869,0,366511172
0762485N,49,28810139,1,15712832
0762486P,49,2891909,0,972033929
0762487R,49,28895175,0,972090062
0762488S,49,86987454,1,321310468
0762489T,49,30718884,1,34386039
0762490U,49,27860995,1,23711157
0762491V,49,56582242,0,480056797
0762499D,49,40004746,1,72235806
0762501F,49,81897252,1,52826625
0762502G,49,2882232,1,15738395
0762503H,49,65181647,1,618031985
0762504J,49,91418174,1,49229032
0762505K,49,50144837,0,158542081
0762506L,49,44097571,1,20352476
0762507M,49,44081485,1,205590152
0762508N,49,50073994,0,20168525
0762517Y,49,52645123,0,72611183
0762519A,49,40771259,1,123666885
0762520B,49,40225458,1,130716961
0762521C,49,54227634,0,946676298
0762522D,49,55673966,0,954038544
0762523E,49,38797508,1,199634518
0762524F,49,62568853,1,177000198
0762527J,49,46216987,1,515548011
0762528K,49,5235486,0,222172867
0762530M,49,56598622,0,25601093
0762531N,49,90341926,1,141084554
0762532P,49,90945301,1,108044211
0762533R,49,54848974,0,170506922
0762534S,49,54817715,0,170406665
0762537V,49,60287492,0,302326704
0762539X,49,52647397,0,760477971
0762540Y,49,63157688,1,537297793
0762542A,49,52125535,0,127120782
0762543B,49,52375008,0,124315029
0762544C,49,51273926,0,128772237
0762547F,49,51770077,0,156854683
0762548G,50,1371685,1,495657541
0762549H,49,49897759,1,140163191
0762550J,49,49835195,1,140401142
0762551K,49,52978611,0,667088338
0762555P,49,76592037,1,511681234
0762556R,49,59202213,1,316595029
0762557S,49,6093729,1,332462082
0762558T,49,71201738,1,228455753
0762559U,49,51036384,0,109687936
0762560V,49,81764396,0,771316672
0762561W,49,42882507,1,86308797
0762590C,49,86583212,0,706385881
0762591D,49,83380257,1,401673587
0762592E,49,64149548,0,265219184
0762593F,49,45997076,1,393497136
0762594G,49,36972898,1,244452966
0762595H,49,43539591,0,829344128
0762596J,49,44351979,0,96193365
0762597K,49,74316145,0,51037632
0762603S,49,83039417,1,397486426
0762605U,49,41378642,1,3129266
0762606V,49,51079517,1,7482181
0762608X,49,35040088,1,175962327
0762610Z,49,48273263,1,57140289
0762611A,49,66303117,0,390325479
0762612B,50,1782901,1,444603241
0762613C,50,4083564,1,444172884
0762614D,49,29915587,1,13928098
0762615E,49,68030224,1,4742885
0762616F,49,91800545,1,67249273
0762617G,49,85842107,1,102959498
0762618H,49,61384458,0,75346748
0762627T,49,84958967,0,931014534
0762628U,49,45484632,1,1268292
0762653W,49,41417954,1,67277866
0762658B,49,78763615,1,2127784
0762659C,49,59899341,1,108187219
0762660D,49,84881978,1,568565509
0762661E,49,51825468,0,264057129
0762665J,49,47848448,1,25317489
0762666K,49,36302299,1,99239888
0762668M,49,4667633,1,183459033
0762670P,49,50115578,0,931754745
0762673T,49,47349741,1,1089367
0762674U,49,51831826,0,879588013
0762676W,49,54790669,1,2184117
0762677X,49,78924283,0,679552148
0762678Y,49,7816999,0,908289661
0762682C,49,8472643,1,565721652
0762683D,49,49901553,0,142662002
0762685F,49,39545374,1,65635666
0762686G,49,90663514,0,994579446
0762689K,49,3693744,1,244677063
0762695S,49,50952107,0,9189959
0762707E,49,88027907,1,128077377
0762709G,49,38732946,1,199447726
0762710H,49,31147191,1,30477944
0762711J,49,54683583,1,53280344
0762712K,49,56335357,1,162692719
0762713L,49,51362539,1,33214268
0762714M,49,54464715,0,183180229
0762715N,49,45975162,1,88630315
0762716P,49,46211255,1,74952164
0762717R,49,54878605,1,75959539
0762718S,49,52401827,1,186318376
0762719T,49,90360167,1,91752738
0762720U,49,9099564,0,946622205
0762722W,49,95641023,1,219438896
0762723X,49,68098467,1,47610622
0762724Y,49,39982833,1,58253853
0762725Z,49,50372544,1,296336273
0762726A,49,4862924,1,214557179
0762727B,49,56773219,1,294193343
0762737M,49,78388036,0,590673671
0762744V,49,435351,1,125818008
0762745W,49,55326209,0,597913692
0762747Y,49,48757252,0,450935292
0762748Z,49,46229107,1,515461765
0762752D,49,78813719,0,634179364
0762754F,49,94984994,1,165403428
0762771Z,49,42460568,1,60215476
0762773B,49,65155345,0,59230746
0762776E,49,85864322,1,103202836
0762777F,49,48685976,0,994975052
0762778G,49,47192184,1,344572086
0762779H,49,63215328,1,85575883
0762780J,49,42204047,1,177869852
0762781K,49,70376408,0,964521584
0762782L,49,49640525,0,121591945
0762783M,49,38387985,1,27150535
0762784N,49,29143334,0,997492486
0762806M,49,45976966,1,131965577
0762811T,49,27545051,1,26817152
0762815X,49,30690014,1,31843294
0762818A,49,4572948,1,104033289
0762820C,49,81115442,0,850069307
0762821D,49,93042005,1,94568154
0762822E,49,43637752,1,79738756
0762823F,49,56388254,1,349013624
0762824G,49,50971901,0,839774068
0762825H,49,27585175,1,43893467
0762831P,49,54177931,1,256694091
0762834T,49,27564395,1,26108836
0762837W,49,77275201,0,46108562
0762839Y,49,48906479,0,101635473
0762840Z,49,47597409,0,958262286
0762842B,49,59112682,0,428064098
0762843C,49,34158724,1,133198886
0762844D,49,52691898,0,724397749
0762847G,49,29011579,1,6498782
0762852M,49,8972216,1,264883019
0762857T,49,35756127,1,11918252
0762870G,49,40019292,1,85016477
0762882V,49,5227844,0,326058304
0762886Z,49,52381434,1,186086671
0762889C,49,42599901,1,91644663
0762898M,49,3426163,0,965901375
0762901R,49,47913306,0,76819141
0762905V,49,4000316,1,178725342
0762906W,49,37863122,1,102062973
0762907X,49,47346831,1,85902266
0762909Z,49,47332865,1,85882629
0762910A,49,49476158,0,97551839
0762913D,49,79966727,1,72945904
0762921M,49,46152683,1,127977722
0762922N,49,56443903,0,223137438
0762923P,49,63939113,0,222696413
0762925S,49,50159712,0,17795567
0762926T,49,51513275,0,111375581
0762928V,49,46433253,1,66894882
0762929W,49,73582945,1,437974079
0762934B,49,5777004,1,228634388
0762937E,49,44706154,1,8920082
0762938F,49,71585124,1,107310592
0762940H,49,50712168,0,123711061
0762942K,49,41134511,1,50770007
0762943L,49,442023,1,149026436
0762944M,49,4259669,1,8000705
0762977Y,49,78763615,1,2127784
0762978Z,49,90674808,1,82023587
0762980B,49,67265263,1,284936525
0762982D,49,93052883,1,94513975
0762986H,49,67472562,1,708252265
0762987J,49,83610055,1,718858622
0762988K,49,41611339,1,92999022
0762989L,49,42044946,1,58550019
0762990M,49,34080546,1,94467556
0762994S,49,50840727,0,201329952
0762995T,49,5275618,0,569128161
0762996U,49,55624751,0,117171524
0762998W,49,49243625,0,101964536
0762999X,49,80351982,0,530340756
0763006E,49,63315426,0,53539342
0763007F,49,40470671,1,47684149
0763008G,49,35811424,1,765847
0763009H,49,38371633,1,106804769
0763010J,49,37316474,1,101959925
0763011K,49,43384381,0,822476184
0763013M,49,43752249,1,99022102
0763014N,49,44732046,1,86524372
0763015P,49,49405046,0,359839678
0763016R,49,50430943,0,414039485
0763017S,49,51173671,0,185609691
0763019U,50,4925503,1,422048319
0763020V,49,91134641,1,69484577
0763021W,49,79898839,1,175233601
0763022X,49,54484896,0,95501366
0763023Y,49,40492189,1,47423856
0763026B,49,60876807,0,35440995
0763074D,49,52804294,0,115474267
0763075E,49,50057465,0,139141163
0763077G,49,52441172,1,37328431
0763080K,49,5292643,1,41488163
0763081L,49,52913966,1,41508105
0763084P,49,5583948,0,64445304
0763086S,49,66361042,1,560465339
0763099F,49,35102403,0,93138389
0763100G,49,47955593,1,723018652
0763101H,49,44398425,1,12532996
0763102J,49,62042879,0,75843447
0763107P,49,46417575,1,6681663
0763108R,49,50570215,0,202224337
0763127L,49,51051547,1,73852043
0763131R,49,64111571,1,159304038
0763132S,49,65143533,0,43648943
0763133T,49,60489394,1,46829719
0763158V,49,51555,0,81897682
0763160X,49,40105727,1,38904562
0763162Z,49,47945133,1,110588793
0763187B,49,9064824,1,82787685
0763188C,49,42393319,1,125372113
0763190E,49,38932693,1,94049476
0763196L,49,37229571,1,95810965
0763207Y,49,44946677,1,35947292
0763215G,49,44472914,1,138179771
0763218K,49,51263979,0,128711497
0763219L,49,5070688,0,122922687
0763221N,49,67182113,0,189189772
0763225T,49,5053116,1,9107021
0763226U,49,52804294,0,115474267
0763228W,49,39415263,1,71034751
0763229X,49,51745442,0,169770944
0763230Y,49,63646838,1,293776433
0763240J,49,51839162,0,122860602
0763241K,49,51855416,0,204573124
0763242L,49,52515782,0,54158062
0763243M,49,41946941,1,92069905
0763247S,49,83349135,1,611472905
0763252X,49,58215879,0,21546835
0763296V,49,65362228,0,762883988
0763306F,49,36522113,1,156526386
0763307G,49,51567395,0,176255839
0763308H,49,52857567,0,933087515
0763309J,49,52065765,1,247931155
0763310K,49,64914802,0,929570221
0763314P,49,35407667,1,148126782
0763315R,49,70456314,1,160587531
0763324A,49,58553711,1,362295884
0763325B,49,43242692,1,256410124
0763326C,49,35704764,1,9926054
0763329F,49,50937873,0,182628664
0763333K,49,51588435,0,9000763
0763334L,49,68228875,0,367782869
0763336N,49,71075453,1,456526848
0763338R,49,7030813,0,99143295
0763344X,49,44713694,1,3276948
0763346Z,49,50697396,1,39284967
0763347A,49,47753604,1,38104227
0763349C,49,92757161,1,101440705
0763350D,49,49538608,0,15754753
0763358M,49,98925232,1,536494738
0763359N,49,84194989,1,225825019
0763360P,49,83501062,1,81225317
0763363T,49,82954902,0,900298756
0763369Z,49,41958858,1,93413348
0763407R,49,44303087,1,102508364
0763416A,49,83153648,1,663503118
0763427M,49,45685297,1,54072157
0763428N,49,71076306,1,487642122
0760004S,49,78618213,1,5649307
0760005T,49,55600706,0,953029923
0760006U,49,54162757,0,949351974
0760007V,49,54229275,0,956806409
0760009X,49,93350691,1,6125646
0760010Y,49,42526508,1,129173264
0760013B,49,57031734,0,480108511
0760017F,49,44163505,1,28541391
0760021K,49,44178885,1,15435958
0760022L,49,47368963,1,46486037
0760023M,49,92261053,1,62985587
0760024N,49,91576901,1,82206029
0760025P,49,91985836,1,58178824
0760026R,49,90711515,1,68356388
0760029U,49,29085526,1,17819023
0760030V,49,28767127,1,2775617
0760031W,49,28773608,1,1964788
0760032X,50,4722152,1,420956329
0760033Y,50,5221074,1,416280928
0760034Z,49,65023282,0,601951033
0760035A,49,74425517,0,389316911
0760036B,49,74425517,0,389316911
0760046M,49,48083951,1,717824335
0760049R,49,40317978,1,49118392
0760050S,49,51193856,0,176501129
0760052U,49,4961055,0,113716385
0760053V,49,49096945,0,103433354
0760054W,49,48795781,0,104725388
0760056Y,49,4974244,0,124176308
0760058A,49,51570546,0,166237368
0760062E,49,49117706,0,138741834
0760069M,49,50953039,0,135914994
0760072R,49,52099873,0,544128947
0760075U,49,47866711,1,39664397
0760076V,49,54630843,0,179595278
0760077W,49,46563643,1,80366964
0760079Y,49,7359627,1,440027671
0760082B,49,85666955,1,22795893
0760083C,49,35793634,1,94999086
0760086F,49,38874077,1,27825312
0760087G,49,42155874,1,53332885
0760088H,49,41892466,1,61133691
0760090K,49,44551841,1,100950931
0760091L,49,44464565,1,109006621
0760093N,49,44266145,1,9410031
0760095R,49,43240067,1,85853329
0760096S,49,451064,1,12206586
0760099V,49,38576085,1,69267764
0760100W,49,45834355,1,132941407
0760101X,49,30251831,1,18486411
0760105B,49,87846203,1,212489809
0760108E,49,86110809,0,709676277
0760109F,49,41253232,1,74830473
0760110G,49,41544471,1,84475617
0760114L,50,5634743,1,366082509
0760116N,49,7193986,0,494774619
0760118R,49,61752302,0,767942586
0760124X,49,39085831,1,100576849
0760132F,49,4974244,0,124176308
0760136K,49,48648626,0,880215935
0760137L,49,82913527,1,394547682
0760142S,49,4516604,1,121913092
0760143T,49,42600743,1,84380436
0760144U,49,51570546,0,166237368
0760145V,49,39918767,1,34618195
0760146W,49,41544471,1,84475617
0760172Z,49,42213491,1,73550837
0760173A,49,40391107,1,87085447
0760174B,49,50100518,0,110397811
0761317U,49,44806222,1,137324246
0761318V,49,92885249,1,103844192
0761322Z,49,50100518,0,110397811
0761325C,49,50105195,0,13171177
0761328F,49,50027611,0,134422858
0761330H,49,76057244,1,381308467
0761331J,49,54649188,0,193281381
0761337R,49,4417942,1,96407391
0761338S,49,61523956,0,755301899
0761341V,49,45068717,1,91065787
0761343X,49,4145167,1,147112786
0761344Y,49,48515493,1,44361503
0761347B,49,28890225,1,114157
0761348C,49,48247275,1,728401341
0761349D,49,48497264,0,135094855
0761353H,49,44914698,1,86330984
0761356L,49,44424111,1,79932149
0761359P,49,5152418,0,11973851
0761366X,49,49137626,0,113658811
0761647C,49,39107397,1,1005689
0761689Y,49,533296,0,353589613
0761690Z,49,40586052,1,62071786
0761691A,49,40847941,1,84075989
0761692B,49,45795376,1,117806506
0761693C,49,44819867,1,13736895
0761694D,49,57339441,0,948143941
0761695E,49,61635335,1,536910192
0761696F,49,50650282,0,157556967
0761697G,49,51783771,0,104957785
0761698H,49,496911,0,138274959
0761699J,49,4944334,0,121192867
0761700K,49,50722435,0,183959276
0761701L,49,57043545,0,484718967
0761703N,49,92905366,1,104243155
0761704P,49,75475403,0,386997929
0761707T,49,89862965,1,75124296
0761708U,49,28956536,1,14784991
0761710W,49,50038785,0,105558054
0761711X,49,50051354,0,117245547
0761713Z,49,40557214,1,138350766
0761715B,49,44836531,1,85168631
0761717D,49,44952199,1,100384009
0761718E,49,4478468,1,93331917
0761719F,49,42853361,1,79260731
0761720G,49,4507478,1,9365884
0761721H,49,62222988,0,759627438
0761722J,49,76864243,1,751259167
0761724L,49,45943661,1,114302803
0761725M,49,57184001,0,469110099
0761727P,49,46149707,1,51864802
0761730T,50,4611606,1,41680698
0761731U,49,75678914,0,381881865
0761734X,49,4800198,1,722597403
0761735Y,49,5018611,0,89341887
0761737A,49,42158537,1,58628483
0761739C,49,51941331,0,108876394
0761740D,49,51941331,0,108876394
0761741E,49,64545778,0,36092084
0761742F,49,39877546,1,34592589
0761745J,49,42898606,1,89442881
0761746K,49,52034965,1,31313671
0761757X,49,47844983,1,39737528
0761760A,49,40818313,1,84045672
0761772N,49,44554582,1,88181562
0761776T,49,27855256,1,41091789
0761777U,49,39389637,1,83079543
0761778V,49,44109194,1,171770283
0761779W,49,44082032,1,171763384
0761780X,49,45163549,1,141275441
0761781Y,49,51458247,0,122345951
0761782Z,49,51611043,0,171563239
0761783A,49,49302153,0,155430579
0761784B,49,64149548,0,265219184
0761785C,49,75605003,0,383088063
0761786D,49,91258486,1,73713784
0761789G,49,73925648,1,439758081
0761911P,49,51611043,0,171563239
0761912R,49,51458247,0,122345951
0761949F,49,42856514,1,64533816
0761950G,49,47250301,1,125824883
0761951H,49,66780053,0,89529978
0761952J,49,58604022,1,36314392
0761953K,49,67195669,1,286574598
0761954L,49,50517051,0,233126643
0761955M,49,50689975,0,23233479
0761956N,49,7123208,1,11078011
0762080Y,49,3502815,1,1119142
0762081Z,49,51421263,0,10067297
0762084C,49,52691898,0,724397749
0762085D,49,4756789,0,816409972
0762086E,49,79213811,1,117140555
0762087F,50,5580805,1,365446842
0762088G,49,47240541,1,125850512
0762089H,49,45338004,1,32380524
0762090J,49,54618608,1,7328547
0762091K,49,4439275,1,10459181
0762092L,49,44357597,1,17847154
0762093M,49,41410691,1,55225454
0762094N,49,41389819,1,5538492
0762107C,49,77404276,1,750373873
0762123V,49,72393172,0,779703045
0762124W,49,61752302,0,767942586
0762125X,49,86891879,1,39174898
0762126Y,49,79015279,0,633458506
0762127Z,49,52307168,0,115518506
0762128A,49,50186803,0,165171926
0762129B,49,51098359,0,188576106
0762130C,49,56977263,0,479250443
0762131D,49,3537026,1,1158599
0762132E,49,39654907,1,67786265
0762133F,49,37870839,1,104804653
0762169V,49,90553551,1,69384589
0762170W,50,4495992,1,411113734
0762173Z,49,49117003,0,140691631
0762174A,49,50186803,0,165171926
0762176C,49,49433414,0,573466861
0762177D,49,46149919,1,516568614
0762178E,49,44614729,1,90346144
0762197A,49,60147856,1,12079202
0762198B,50,4544753,1,41103014
0762199C,49,82856046,0,913188973
0762201E,49,44140989,1,28241165
0762202F,49,47454624,1,56369181
0762211R,49,40531917,1,88230469
0762225F,49,91918428,1,102814949
0762226G,49,51394023,0,90429878
0762227H,49,55018208,0,17459334
0762228J,49,55018208,0,17459334
0762229K,49,40748046,1,155168513
0762286X,49,55600706,0,953029923
0762287Y,49,75745944,0,367306453
0762288Z,49,54782343,0,190085087
0762289A,49,51947879,0,53321474
0762290B,49,44276422,1,94346068
0762315D,49,90682936,1,68410348
0762316E,49,70995892,1,114092452
0762317F,49,75605003,0,383088063
0762319H,49,61731025,1,537557961
0762320J,49,48061996,1,71771806
0762321K,49,73561117,1,44008553
0762405B,49,50984984,0,78383148
0762406C,49,93334718,1,612581475
0762442S,49,84108891,1,48372254
0762458J,49,28465431,1,1633143
0762459K,49,28447799,1,868808
0762460L,49,3609324,1,15046794
0762461M,49,2892347,1,14800453
0762563Y,49,50038785,0,105558054
0762564Z,49,40573181,1,137567923
0762565A,49,44818847,1,85242778
0762566B,49,42964468,1,81686716
0762568D,49,89838409,1,74880382
0762569E,49,56310993,0,224157708
0762598L,49,61737594,1,535548885
0762600N,49,73961297,1,440508488
0762601P,49,45472771,1,132479567
0762602R,49,30871948,1,28496715
0762679Z,49,87807552,1,214571036
0762701Y,49,52099873,0,544128947
0762738N,49,51947879,0,53321474
0762739P,49,86301956,0,71029121
0762740R,49,64545778,0,36092084
0762756H,49,53964341,0,963812146
0762764S,49,52613052,0,98530437
0762765T,49,53560969,0,973481176
0762812U,49,3862914,1,201044409
0762816Y,49,36406355,1,21425777
0762836V,49,55353592,0,491958115
0762861X,49,46342263,1,43597056
0762879S,49,61525681,0,767753419
0762880T,49,3085289,1,29491417
0762888B,49,39700656,1,160448958
0762911B,49,43858763,1,101929018
0762917H,49,27731736,1,24236161
0762919K,49,56524897,0,460268341
0762920L,49,61731025,1,537557961
0762945N,49,48795781,0,104725388
0762946P,49,43292512,1,85814532
0762948S,49,39951662,1,163277127
0762949T,49,56524897,0,460268341
0762950U,49,61525681,0,767753419
0762951V,49,86713852,0,698770099
0762953X,49,66780053,0,89529978
0762954Y,49,3884657,1,6467349
0762964J,49,4930007,0,150027907
0762965K,49,51388042,0,162108789
0762966L,49,51388042,0,162108789
0762975W,49,4930007,0,150027907
0762976X,49,92003632,1,58464305
0763002A,49,49117706,0,138741834
0763060N,49,41951889,1,60511808
0763061P,49,52613052,0,98530437
0763064T,49,89168174,1,27113562
0763079J,49,75664644,0,388637133
0763112V,49,45059007,1,92834519
0763201S,49,41355481,1,145770771
0763202T,49,44406979,1,79786867
0763203U,49,5152418,0,11973851
0763204V,49,5018611,0,89341887
0763205W,49,8412068,1,483737101
0763206X,49,49117003,0,140691631
0763220M,49,44226649,1,18096125
0763237F,49,4100525,1,70476566
0763365V,49,49188543,1,141218753
0763368Y,49,44909728,1,98012694
0763406P,49,44909728,1,98012694
0763408S,49,44909728,1,98012694
0763409T,49,28465431,1,1633143
