;;;;Demandes d'interventions;;;;;;;
;;;;;2015-2016;;;;;;
;;;;;;;;;;;
Date;Ville;Etablissement;Classe;Nb élève;Plaideur;Thème;Horaire;Matériel;Genre;Contact;Remarques
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CE2-CM1;28;Jean-Pierre;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CM1-CM2;28;Isabelle;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CM2;28;Isabelle;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CP;20;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;RELANCE ISABELLE PAS DE REPONSE
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CP-CE1;19;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;vérifier dispo matos si en //
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CE1;23;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CE1-CE2;20;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CE2;23;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CM1;22;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CM1-CM2;20;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CM2;22;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
;CLEON;ECOLE ELEMENTAIRE RENE GOSCINY;Elémentaire-CLIS;12;Isabelle;;;Vidéo disponible - TBI;M;Dupuis Sylvain;
03/12/2015;PETIT-COURONNE;ECOLE ELEMENTAIRE LOUISE MICHEL;Elémentaire-CE1-CE2;24;Cath.-Guest;Santé - Eau;Matin;Audio-Vidéo disponible;Mme;Loubere;
;<ligne vide ne devant pas être la>;<ligne vide ne devant pas être la>;<ligne vide ne devant pas être la>;;;;;;;;
21/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE ANDRE MARIE;Elémentaire-CE2-CM1;25;Cath.-Guest;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Massiot Annick;
03/11/2015;PETIT-COURONNE;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CM1;24;Isabelle;Droits - Travail des enfants;;Vidéo disponible - TBI;Mme;Martin Julie;
;LE HAVRE;ECOLE ELEMENTAIRE HENRY GENESTAL;Elémentaire-CP;25;;Santé - Eau;;Audio-Vidéo disponible;Mme;Bodénès;vérifier dispo matos si en //
;LE HAVRE;ECOLE ELEMENTAIRE HENRY GENESTAL;Elémentaire-CP;25;;Santé - Eau;;Audio-Vidéo disponible;Mme;Le Bellego;
